timestamp;eventTime;date;hour;service;requests;unique_events;cost
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;logs;64;1;0.00025600
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;rds;5;1;0.00002000
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;s3;147;6;0.00058800
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;sts;1017;2;0.00406800
2018-05-01 00:00:00;2018-05-01 00:00:00;2018-05-01;0;unknown;169;45;0.00067600
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;cloudtrail;57;2;0.00022800
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;ec2;2108;52;0.00843200
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;elb;64;1;0.00025600
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;iam;310;18;0.00124000
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;lambda;47;1;0.00018800
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;logs;53;2;0.00021200
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;rds;31;1;0.00012400
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;s3;330;7;0.00132000
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;sns;31;1;0.00012400
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;sts;967;2;0.00386800
2018-06-01 00:00:00;2018-06-01 00:00:00;2018-06-01;0;unknown;170;36;0.00068000
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;cloudtrail;363;2;0.00145200
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;ec2;2824;45;0.01129600
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;elb;300;1;0.00120000
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;iam;683;20;0.00273200
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;lambda;157;2;0.00062800
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;logs;77;2;0.00030800
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;rds;91;1;0.00036400
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;s3;10267;16;0.04106800
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;sns;93;1;0.00037200
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;sts;1072;2;0.00428800
2018-07-01 00:00:00;2018-07-01 00:00:00;2018-07-01;0;unknown;624;42;0.00249600
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;cloudtrail;112;2;0.00044800
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;ec2;6850;77;0.02740000
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;elb;135;1;0.00054000
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;iam;782;25;0.00312800
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;lambda;112;3;0.00044800
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;logs;120;2;0.00048000
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;rds;59;1;0.00023600
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;s3;439;15;0.00175600
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;sns;60;1;0.00024000
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;sts;1201;2;0.00480400
2018-08-01 00:00:00;2018-08-01 00:00:00;2018-08-01;0;unknown;823;65;0.00329200
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;cloudtrail;21;2;0.00008400
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;ec2;2876;42;0.01150400
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;elb;60;1;0.00024000
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;iam;309;16;0.00123600
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;lambda;91;4;0.00036400
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;logs;63;1;0.00025200
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;rds;15;1;0.00006000
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;s3;441;10;0.00176400
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;sns;15;1;0.00006000
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;sts;1981;2;0.00792400
2018-09-01 00:00:00;2018-09-01 00:00:00;2018-09-01;0;unknown;1507;32;0.00602800
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;cloudtrail;275;2;0.00110000
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;ec2;10513;236;0.04205200
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;elb;410;1;0.00164000
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;iam;1080;21;0.00432000
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;lambda;290;4;0.00116000
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;logs;149;3;0.00059600
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;rds;183;1;0.00073200
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;s3;1284;8;0.00513600
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;sns;168;2;0.00067200
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;sqs;2;1;0.00000800
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;sts;11745;2;0.04698000
2018-10-01 00:00:00;2018-10-01 00:00:00;2018-10-01;0;unknown;2707;211;0.01082800
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;cloudtrail;18;1;0.00007200
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;ec2;2304;173;0.00921600
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;elb;34;1;0.00013600
2018-11-01 00:00:00;2018-11-01 00:00:00;2018-11-01;0;iam;419;19;0.00167600
